iter	Passed	Remaining
0	1	166
1	2	144
2	4	134
3	5	126
4	6	123
5	7	120
6	8	117
7	10	115
8	11	113
9	12	112
10	13	112
11	15	113
12	17	113
13	18	111
14	19	109
15	20	107
16	21	105
17	22	104
18	24	102
19	25	101
20	26	99
21	27	97
22	28	96
23	29	94
24	31	94
25	32	92
26	33	91
27	34	89
28	36	88
29	37	86
30	38	85
31	39	83
32	40	82
33	41	81
34	42	79
35	44	78
36	45	77
37	46	76
38	48	75
39	49	73
40	50	72
41	50	70
42	52	69
43	53	67
44	54	66
45	55	65
46	56	63
47	57	62
48	59	61
49	60	60
50	61	59
51	62	58
52	63	56
53	65	55
54	65	53
55	67	52
56	68	51
57	69	50
58	70	49
59	71	47
60	72	46
61	74	45
62	75	44
63	76	43
64	77	41
65	78	40
66	80	39
67	81	38
68	82	36
69	83	35
70	84	34
71	85	33
72	86	32
73	88	30
74	89	29
75	90	28
76	91	27
77	93	26
78	94	25
79	95	23
80	96	22
81	97	21
82	98	20
83	99	18
84	100	17
85	102	16
86	103	15
87	104	14
88	105	13
89	106	11
90	107	10
91	108	9
92	109	8
93	110	7
94	111	5
95	112	4
96	113	3
97	114	2
98	117	1
99	118	0
