iter	Passed	Remaining
0	131	131714
1	132	66228
2	133	44427
3	134	33441
4	134	26846
5	135	22440
6	135	19288
7	136	16924
8	136	15083
9	137	13611
10	138	12407
11	138	11404
12	139	10554
13	139	9828
14	140	9199
15	140	8648
16	141	8169
17	141	7740
18	142	7354
19	142	7006
20	143	6690
21	144	6404
22	144	6141
23	145	5900
24	145	5679
25	146	5475
26	146	5286
27	147	5109
28	147	4944
29	148	4791
30	148	4647
31	149	4513
32	149	4386
33	150	4268
34	150	4155
35	151	4049
36	151	3949
37	152	3854
38	152	3765
39	153	3679
40	153	3597
41	154	3524
42	155	3460
43	156	3396
44	157	3334
45	157	3270
46	158	3209
47	158	3150
48	159	3093
49	160	3040
50	160	2991
51	161	2939
52	161	2889
53	162	2842
54	162	2796
55	163	2751
56	163	2708
57	164	2667
58	164	2627
59	165	2588
60	165	2550
61	166	2514
62	166	2479
63	167	2445
64	167	2412
65	168	2379
66	168	2352
67	169	2325
68	171	2314
69	172	2286
70	172	2260
71	173	2234
72	173	2209
73	174	2183
74	175	2158
75	175	2135
76	176	2111
77	176	2088
78	177	2065
79	177	2043
80	178	2021
81	178	1999
82	178	1976
83	179	1956
84	179	1936
85	180	1917
86	180	1898
87	181	1879
88	181	1861
89	182	1844
90	182	1827
91	183	1810
92	184	1794
93	184	1781
94	185	1766
95	186	1752
96	186	1737
97	187	1723
98	187	1708
99	188	1694
100	188	1680
101	189	1666
102	189	1653
103	190	1640
104	190	1627
105	191	1614
106	191	1601
107	192	1589
108	192	1576
109	193	1564
110	193	1552
111	194	1541
112	194	1529
113	195	1518
114	195	1507
115	196	1496
116	196	1484
117	197	1474
118	197	1464
119	198	1454
120	199	1447
121	199	1437
122	200	1429
123	201	1420
124	201	1411
125	202	1402
126	202	1392
127	203	1383
128	203	1375
129	204	1366
130	204	1357
131	205	1349
132	205	1341
133	206	1333
134	206	1325
135	207	1317
136	207	1309
137	208	1301
138	208	1293
139	209	1285
140	209	1278
141	210	1269
142	210	1262
143	211	1255
144	211	1248
145	212	1241
146	212	1234
147	213	1228
148	214	1223
149	214	1217
150	215	1211
151	216	1205
152	216	1199
153	217	1192
154	217	1186
